,number,mean,upper,lower
O4,0,-0.08704014875635575,-0.07450563648056623,-0.09957466103214528
C3,1,-0.10552905069174989,-0.09481698838428287,-0.11624111299921691
C2,2,-0.1106464600663192,-0.09940616081971608,-0.12188675931292232
C10,3,-0.11786508630327756,-0.10566903675591374,-0.13006113585064139
C11,4,-0.11970563708836929,-0.10563488950542142,-0.13377638467131714
C12,5,-0.12441006124736773,-0.10894904059899273,-0.1398710818957427
C13,6,-0.12391452614017832,-0.10666719895772508,-0.14116185332263156
C15,7,-0.1267012628003873,-0.10728846246652353,-0.14611406313425107
C16,8,-0.1216289610161349,-0.10280523822502431,-0.14045268380724552
C17,9,-0.12123414666468764,-0.10203284007114707,-0.1404354532582282
C18,10,-0.11643173685214195,-0.09975202156095589,-0.133111452143328
C20,11,-0.12139031579100246,-0.10405914457129925,-0.13872148701070566
C21,12,-0.12655072027580533,-0.10937776402109556,-0.1437236765305151
C22,13,-0.13682100765132565,-0.11904785831296527,-0.15459415698968604
C23,14,-0.14614324778956367,-0.1284276079448358,-0.16385888763429154
C24,15,-0.15716006317932918,-0.13988985290626907,-0.1744302734523893
C26,16,-0.16498933728208795,-0.14762676574710773,-0.18235190881706817
C27,17,-0.17295452802159364,-0.15607949493489176,-0.18982956110829552
C28,18,-0.17975836126534062,-0.16349281665316473,-0.1960239058775165
C29,19,-0.18827555785219138,-0.17170674884269707,-0.2048443668616857
C31,20,-0.1945623036716717,-0.17918167922614484,-0.20994292811719859
C32,21,-0.20199257493836362,-0.18763979712158016,-0.21634535275514707
C33,22,-0.2054484372854549,-0.1920377700587439,-0.2188591045121659
C41,23,-0.19895751214161012,-0.18571398193273936,-0.21220104235048087
C39,24,-0.2027023432276473,-0.18955624856102465,-0.21584843789426994
O40,25,-0.1971064638544889,-0.1834716505536479,-0.21074127715532992
